1 1.0 1.0 1.0
4 0.742830796258 0.510663507109 0.627872639703
8 1.90664425985 0.23488342202 0.380869157115
12 2.39865467731 0.207785096197 0.424916264978
16 2.77137346425 0.19856071083 0.420149032043
20 3.01655620204 0.194365171341 0.467976977847
24 3.27137628717 0.189958154821 0.474578427543
28 3.50122598633 0.187952540811 0.483783478359
32 3.76663546725 0.184261875627 0.493747929393
36 3.7784997222 0.104611650485 0.50125181525
40 3.87779066531 0.0860580853461 0.507417130038
44 4.11510105436 0.0742347577125 0.513697935122
48 3.92206407582 0.0677249022358 0.522535917386
52 4.17651577208 0.0662788335993 0.518136890963
56 4.24269547687 0.0611370424691 0.520438334973
60 3.89210757146 0.0596867120442 0.518702327321
64 4.19366909792 0.0574120710369 0.545656817449
